biblioteca	sigla	settore
Biblioteca di biologia, informatica, chimica e fisica	BICF	scientifico
Biblioteca del Polo centrale di medicina e chirurgia	Medicina	biomedico
Biblioteca del Polo di mediazione interculturale e comunicazione	Mediazione	umanistico
Biblioteca di Scienze agrarie e alimentari	Agraria	scientifico
Biblioteca Biomedica di Città Studi	Biomedica	biomedico
Biblioteca di Filosofia	Filosofia	umanistico
Biblioteca di Medicina veterinaria	Veterinaria	biomedico
Biblioteca di Scienze dell’antichità e filologia moderna	SAFM	umanistico
Biblioteca di Scienze della storia e della documentazione storica	Storia	umanistico
Biblioteca di Scienze della Terra "Ardito Desio"	Scienze della Terra	scientifico
Biblioteca di Scienze politiche "Enrica Collotti Pischel"	Scienze politiche	giuridico-economico e politico-sociale
Biblioteca di Storia dell’arte della musica e dello spettacolo	Arte	umanistico
Biblioteca di Studi giuridici e umanistici	BSGU	giuridico-economico e politico-sociale
Biblioteca Matematica "Giovanni Ricci"	Matematica	scientifico
Biblioteca di Lingue e letterature straniere	Lingue	umanistico
Biblioteca "Alberto Malliani"	Malliani	biomedico
Biblioteca del Polo San Paolo	San Paolo	biomedico
