Biblioteca	Settimana	Inizio	Fine	Giorni di apertura	Posti a sedere	Apertura	Chiusura	Ore di apertura	Intervalli	Slot disponibili	Slot occupati	Ore disponibili	Ore occupate	Presenze	Elenco presenze	Media	Picco
BSGU	53	2021-01-01	2021-01-01	1	0.0	09:00	16:00	7.0	1	0.0	0	0.0	0.0	0		0	0
BSGU	1	2021-01-04	2021-01-08	5	76.0	09:00	16:00	7.0	2	760.0	16	2660.0	96.0	16	2021-01-07, 09:00-15:00: 10 * 2021-01-08, 09:00-15:00: 6 * 	8.0	10
Filosofia	1	2021-01-04	2021-01-08	3	7.0	09:00	15:00	6.0	3	63.0	23	126.0	46.0	23	2021-01-04, 11:00-13:00: 1 * 2021-01-07, 09:00-11:00: 2 * 2021-01-07, 11:00-13:00: 4 * 2021-01-07, 13:00-15:00: 3 * 2021-01-08, 09:00-11:00: 4 * 2021-01-08, 11:00-13:00: 5 * 2021-01-08, 13:00-15:00: 4 * 	3.2857142857142856	5
Matematica	1	2021-01-05	2021-01-05	1	0.0	11:00	13:00	2.0	1	0.0	0	0.0	0.0	0		0	0
Arte	1	2021-01-07	2021-01-08	2	40.0	09:00	21:00	12.0	10	800.0	29	960.0	188.5	29	2021-01-07, 09:00-15:30: 5 * 2021-01-07, 10:00-16:30: 2 * 2021-01-07, 10:30-17:00: 1 * 2021-01-07, 11:30-18:00: 1 * 2021-01-07, 12:00-18:30: 1 * 2021-01-07, 13:00-19:30: 1 * 2021-01-08, 09:00-15:30: 7 * 2021-01-08, 09:30-16:00: 2 * 2021-01-08, 10:00-16:30: 3 * 2021-01-08, 10:30-17:00: 3 * 2021-01-08, 11:00-17:30: 1 * 2021-01-08, 13:30-20:00: 1 * 2021-01-08, 14:30-21:00: 1 * 	2.230769230769231	7
Scienze politiche	1	2021-01-07	2021-01-08	2	73.0	09:00	14:00	5.0	5	730.0	10	730.0	10.0	10	2021-01-07, 09:00-10:00: 1 * 2021-01-07, 10:00-11:00: 1 * 2021-01-07, 11:00-12:00: 2 * 2021-01-07, 12:00-13:00: 1 * 2021-01-08, 09:00-10:00: 1 * 2021-01-08, 10:00-11:00: 1 * 2021-01-08, 11:00-12:00: 1 * 2021-01-08, 12:00-13:00: 1 * 2021-01-08, 13:00-14:00: 1 * 	1.1111111111111112	2
SAFM	1	2021-01-07	2021-01-08	2	58.0	09:30	13:00	3.5	1	116.0	40	406.0	140.0	40	2021-01-07, 09:30-13:00: 21 * 2021-01-08, 09:30-13:00: 19 * 	20.0	21
BICF	1	2021-01-07	2021-01-08	2	90.0	10:00	18:00	8.0	1	180.0	0	1440.0	0.0	0		0	0
Medicina	1	2021-01-07	2021-01-07	1	20.0	10:30	12:30	2.0	1	20.0	0	40.0	0.0	0		0	0
Malliani	1	2021-01-07	2021-01-07	1	46.0	13:00	20:00	7.0	1	46.0	1	322.0	7.0	1	2021-01-07, 13:00-20:00: 1 * 	1.0	1
Mediazione	1	2021-01-08	2021-01-08	1	16.0	09:00	12:30	3.5	1	16.0	0	56.0	0.0	0		0	0
Veterinaria	1	2021-01-08	2021-01-08	1	60.0	09:30	16:00	6.5	1	60.0	1	390.0	6.5	1	2021-01-08, 09:30-16:00: 1 * 	1.0	1
Lingue	1	2021-01-08	2021-01-08	1	10.0	10:00	11:00	1.0	1	10.0	1	10.0	1.0	1	2021-01-08, 10:00-11:00: 1 * 	1.0	1
Biomedica	1	2021-01-08	2021-01-08	1	54.0	15:00	23:30	8.5	1	54.0	0	459.0	0.0	0		0	0
BSGU	2	2021-01-11	2021-01-15	5	76.0	09:00	18:00	9.0	4	1520.0	240	3420.0	1128.0	240	2021-01-11, 09:00-15:00: 16 * 2021-01-12, 09:00-13:30: 20 * 2021-01-12, 09:00-15:00: 10 * 2021-01-12, 13:30-18:00: 12 * 2021-01-13, 09:00-13:30: 35 * 2021-01-13, 09:00-15:00: 3 * 2021-01-13, 13:30-18:00: 31 * 2021-01-14, 09:00-13:30: 30 * 2021-01-14, 09:00-15:00: 2 * 2021-01-14, 13:30-18:00: 16 * 2021-01-15, 09:00-13:30: 30 * 2021-01-15, 09:00-15:00: 1 * 2021-01-15, 13:30-18:00: 34 * 	18.46153846153846	35
