Biblioteca	Settimana	Orario	inizio	fine
Agraria	1	00.00-00.00	0.0	0.0
Agraria	2	00.00-00.00	0.0	0.0
Agraria	3	00.00-00.00	0.0	0.0
Agraria	4	00.00-00.00	0.0	0.0
Agraria	5	00.00-00.00	0.0	0.0
Agraria	6	00.00-00.00	0.0	0.0
Agraria	7	00.00-00.00	0.0	0.0
Agraria	8	00.00-00.00	0.0	0.0
Agraria	9	00.00-00.00	0.0	0.0
Agraria	10	00.00-00.00	0.0	0.0
Agraria	11	00.00-00.00	0.0	0.0
Agraria	12	00.00-00.00	0.0	0.0
Agraria	13	00.00-00.00	0.0	0.0
Agraria	14	00.00-00.00	0.0	0.0
Agraria	15	00.00-00.00	0.0	0.0
Agraria	16	00.00-00.00	0.0	0.0
Agraria	17	13.00-17.00	13.0	17.0
Agraria	18	09.00-17.00	9.0	17.0
Agraria	19	09.00-17.00	9.0	17.0
Agraria	20	09.00-17.00	9.0	17.0
Agraria	21	09.00-17.00	9.0	17.0
Agraria	22	09.00-17.00	9.0	17.0
Agraria	23	09.00-17.00	9.0	17.0
Agraria	24	09.00-17.00	9.0	17.0
Agraria	25	09.00-17.00	9.0	17.0
Agraria	26	09.00-17.00	9.0	17.0
Agraria	27	09.00-17.00	9.0	17.0
Agraria	28	09.00-17.00	9.0	17.0
Agraria	29	09.00-17.00	9.0	17.0
Agraria	30	09.00-17.00	9.0	17.0
Agraria	31	00-00	0.0	0.0
Agraria	32	00-00	0.0	0.0
Agraria	33	00-00	0.0	0.0
Agraria	34	00-00	0.0	0.0
Agraria	35	00-00	0.0	0.0
Agraria	36	09.00-17.00	9.0	17.0
Agraria	37	09.00-17.00	9.0	17.0
Agraria	38	09.00-17.00	9.0	17.0
Agraria	39	09:00-17:00	9.0	17.0
Agraria	40	09:00-17:00	9.0	17.0
Agraria	41	09:00-17:00	9.0	17.0
Agraria	42	09:00-17:00	9.0	17.0
Agraria	43	09:00-17:00	9.0	17.0
Agraria	44	00-00	0.0	0.0
Agraria	45	00-00	0.0	0.0
Agraria	46	00-00	0.0	0.0
Agraria	47	00-00	0.0	0.0
Agraria	48	00-00	0.0	0.0
Agraria	49	00-00	0.0	0.0
Agraria	50	00-00	0.0	0.0
Agraria	51	00-00	0.0	0.0
Agraria	52	00-00	0.0	0.0
Agraria	53	00.00-00.00	0.0	0.0
Arte	1	00.00-00.00	0.0	0.0
Arte	2	00.00-00.00	0.0	0.0
Arte	3	00.00-00.00	0.0	0.0
Arte	4	00.00-00.00	0.0	0.0
Arte	5	00.00-00.00	0.0	0.0
Arte	6	00.00-00.00	0.0	0.0
Arte	7	00.00-00.00	0.0	0.0
Arte	8	00.00-00.00	0.0	0.0
Arte	9	00.00-00.00	0.0	0.0
Arte	10	00.00-00.00	0.0	0.0
Arte	11	00.00-00.00	0.0	0.0
Arte	12	00.00-00.00	0.0	0.0
Arte	13	00.00-00.00	0.0	0.0
Arte	14	00.00-00.00	0.0	0.0
Arte	15	00.00-00.00	0.0	0.0
Arte	16	09.30-16.00	9.5	16.0
Arte	17	09.30-16.00	9.5	16.0
Arte	18	09.30-16.00	9.5	16.0
Arte	19	09.30-16.00	9.5	16.0
Arte	20	09.30-16.00	9.5	16.0
Arte	21	09.30-16.00	9.5	16.0
Arte	22	09.30-16.00	9.5	16.0
Arte	23	09.30-16.00	9.5	16.0
Arte	24	09.30-16.00	9.5	16.0
Arte	25	09.30-16.00	9.5	16.0
