Biblioteca	Settimana	Posti
Agraria	1	36.0
Agraria	2	36.0
Agraria	3	36.0
Agraria	4	36.0
Agraria	5	36.0
Agraria	6	36.0
Agraria	7	36.0
Agraria	8	36.0
Agraria	9	36.0
Agraria	10	36.0
Agraria	11	36.0
Agraria	12	36.0
Agraria	13	36.0
Agraria	14	36.0
Agraria	15	36.0
Agraria	16	36.0
Agraria	17	36.0
Agraria	18	36.0
Agraria	19	36.0
Agraria	20	36.0
Agraria	21	36.0
Agraria	22	36.0
Agraria	23	36.0
Agraria	24	36.0
Agraria	25	36.0
Agraria	26	36.0
Agraria	27	36.0
Agraria	28	36.0
Agraria	29	36.0
Agraria	30	36.0
Agraria	31	0.0
Agraria	32	0.0
Agraria	33	0.0
Agraria	34	0.0
Agraria	35	0.0
Agraria	36	36.0
Agraria	37	36.0
Agraria	38	36.0
Agraria	39	36.0
Agraria	40	36.0
Agraria	41	36.0
Agraria	42	36.0
Agraria	43	124.0
Agraria	44	0.0
Agraria	45	0.0
Agraria	46	0.0
Agraria	47	0.0
Agraria	48	0.0
Agraria	49	0.0
Agraria	50	0.0
Agraria	51	0.0
Agraria	52	0.0
Agraria	53	0.0
Arte	1	40.0
Arte	2	40.0
Arte	3	40.0
Arte	4	40.0
Arte	5	40.0
Arte	6	40.0
Arte	7	40.0
Arte	8	40.0
Arte	9	40.0
Arte	10	40.0
Arte	11	40.0
Arte	12	40.0
Arte	13	40.0
Arte	14	40.0
Arte	15	40.0
Arte	16	40.0
Arte	17	40.0
Arte	18	40.0
Arte	19	40.0
Arte	20	40.0
Arte	21	40.0
Arte	22	40.0
Arte	23	40.0
Arte	24	40.0
Arte	25	40.0
Arte	26	40.0
Arte	27	40.0
Arte	28	40.0
Arte	29	40.0
Arte	30	40.0
Arte	31	0.0
Arte	32	0.0
Arte	33	0.0
Arte	34	0.0
Arte	35	40.0
Arte	36	40.0
Arte	37	40.0
Arte	38	40.0
Arte	39	40.0
Arte	40	40.0
Arte	41	57.0
Arte	42	57.0
Arte	43	57.0
Arte	44	57.0
Arte	45	0.0
Arte	46	0.0
Arte	47	0.0
Arte	48	0.0
Arte	49	0.0
Arte	50	0.0
Arte	51	0.0
Arte	52	0.0
Arte	53	0.0
BICF	1	90.0
BICF	2	90.0
BICF	3	90.0
BICF	4	90.0
BICF	5	90.0
BICF	6	90.0
BICF	7	90.0
BICF	8	90.0
BICF	9	90.0
BICF	10	90.0
BICF	11	90.0
BICF	12	90.0
BICF	13	90.0
BICF	14	90.0
BICF	15	90.0
BICF	16	90.0
BICF	17	98.0
BICF	18	98.0
BICF	19	98.0
BICF	20	98.0
BICF	21	98.0
BICF	22	98.0
BICF	23	98.0
BICF	24	98.0
BICF	25	98.0
BICF	26	98.0
BICF	27	98.0
BICF	28	98.0
BICF	29	98.0
BICF	30	98.0
BICF	31	98.0
BICF	32	0.0
BICF	33	0.0
BICF	34	98.0
BICF	35	98.0
BICF	36	98.0
BICF	37	98.0
BICF	38	98.0
BICF	39	98.0
BICF	40	98.0
BICF	41	180.0
BICF	42	180.0
BICF	43	180.0
BICF	44	0.0
BICF	45	0.0
BICF	46	0.0
BICF	47	0.0
BICF	48	0.0
BICF	49	0.0
BICF	50	0.0
BICF	51	0.0
BICF	52	0.0
BICF	53	0.0
BSGU	1	76.0
BSGU	2	76.0
BSGU	3	76.0
BSGU	4	76.0
BSGU	5	76.0
BSGU	6	76.0
BSGU	7	76.0
BSGU	8	76.0
BSGU	9	76.0
BSGU	10	76.0
BSGU	11	76.0
BSGU	12	76.0
BSGU	13	76.0
BSGU	14	76.0
BSGU	15	114.0
BSGU	16	114.0
BSGU	17	114.0
BSGU	18	194.0
BSGU	19	194.0
BSGU	20	194.0
BSGU	21	194.0
BSGU	22	194.0
BSGU	23	213.0
BSGU	24	213.0
BSGU	25	213.0
BSGU	26	213.0
BSGU	27	166.0
BSGU	28	221.0
BSGU	29	299.0
BSGU	30	299.0
BSGU	31	0.0
BSGU	32	0.0
BSGU	33	0.0
BSGU	34	0.0
BSGU	35	299.0
BSGU	36	299.0
BSGU	37	299.0
BSGU	38	299.0
BSGU	39	299.0
BSGU	40	290.0
BSGU	41	560.0
BSGU	42	592.0
BSGU	43	592.0
BSGU	44	592.0
BSGU	45	592.0
BSGU	46	0.0
BSGU	47	0.0
BSGU	48	0.0
BSGU	49	0.0
BSGU	50	0.0
BSGU	51	0.0
BSGU	52	0.0
BSGU	53	0.0
Biomedica	1	54.0
Biomedica	2	54.0
Biomedica	3	54.0
Biomedica	4	54.0
Biomedica	5	54.0
Biomedica	6	54.0
Biomedica	7	54.0
Biomedica	8	54.0
Biomedica	9	54.0
Biomedica	10	54.0
Biomedica	11	54.0
Biomedica	12	54.0
Biomedica	13	54.0
Biomedica	14	54.0
Biomedica	15	54.0
Biomedica	16	54.0
Biomedica	17	54.0
Biomedica	18	54.0
Biomedica	19	54.0
Biomedica	20	100.0
Biomedica	21	100.0
Biomedica	22	100.0
Biomedica	23	100.0
Biomedica	24	100.0
Biomedica	25	100.0
Biomedica	26	100.0
Biomedica	27	100.0
Biomedica	28	100.0
Biomedica	29	100.0
Biomedica	30	100.0
Biomedica	31	0.0
Biomedica	32	0.0
Biomedica	33	0.0
Biomedica	34	0.0
Biomedica	35	0.0
Biomedica	36	100.0
Biomedica	37	100.0
Biomedica	38	100.0
Biomedica	39	100.0
Biomedica	40	100.0
Biomedica	41	112.0
Biomedica	42	112.0
Biomedica	43	292.0
Biomedica	44	304.0
Biomedica	45	304.0
Biomedica	46	0.0
Biomedica	47	0.0
Biomedica	48	0.0
Biomedica	49	0.0
Biomedica	50	0.0
Biomedica	51	0.0
Biomedica	52	0.0
Biomedica	53	0.0
Filosofia	1	7.0
Filosofia	2	7.0
Filosofia	3	7.0
Filosofia	4	25.0
Filosofia	5	25.0
Filosofia	6	25.0
Filosofia	7	25.0
Filosofia	8	25.0
Filosofia	9	25.0
Filosofia	10	25.0
Filosofia	11	25.0
Filosofia	12	25.0
Filosofia	13	25.0
Filosofia	14	25.0
Filosofia	15	25.0
Filosofia	16	25.0
Filosofia	17	25.0
Filosofia	18	25.0
Filosofia	19	25.0
Filosofia	20	25.0
Filosofia	21	25.0
Filosofia	22	25.0
Filosofia	23	19.0
Filosofia	24	25.0
Filosofia	25	25.0
Filosofia	26	25.0
Filosofia	27	42.0
Filosofia	28	42.0
Filosofia	29	42.0
Filosofia	30	76.0
Filosofia	31	76.0
Filosofia	32	0.0
Filosofia	33	0.0
Filosofia	34	0.0
Filosofia	35	0.0
Filosofia	36	42.0
Filosofia	37	42.0
Filosofia	38	42.0
Filosofia	39	42.0
Filosofia	40	42.0
Filosofia	41	76.0
Filosofia	42	76.0
Filosofia	43	76.0
Filosofia	44	0.0
Filosofia	45	0.0
Filosofia	46	0.0
Filosofia	47	0.0
Filosofia	48	0.0
Filosofia	49	0.0
Filosofia	50	0.0
Filosofia	51	0.0
Filosofia	52	0.0
Filosofia	53	0.0
Lingue	1	10.0
Lingue	2	10.0
Lingue	3	10.0
Lingue	4	10.0
Lingue	5	10.0
Lingue	6	10.0
Lingue	7	10.0
Lingue	8	10.0
Lingue	9	10.0
Lingue	10	10.0
Lingue	11	10.0
Lingue	12	10.0
Lingue	13	10.0
Lingue	14	10.0
Lingue	15	10.0
Lingue	16	10.0
Lingue	17	10.0
Lingue	18	10.0
Lingue	19	10.0
Lingue	20	10.0
Lingue	21	10.0
Lingue	22	10.0
Lingue	23	10.0
Lingue	24	21.0
Lingue	25	21.0
Lingue	26	21.0
Lingue	27	21.0
Lingue	28	21.0
Lingue	29	21.0
Lingue	30	21.0
Lingue	31	0.0
Lingue	32	0.0
Lingue	33	0.0
Lingue	34	0.0
Lingue	35	0.0
Lingue	36	21.0
Lingue	37	21.0
Lingue	38	21.0
Lingue	39	21.0
Lingue	40	21.0
Lingue	41	21.0
Lingue	42	40.0
Lingue	43	40.0
Lingue	44	40.0
Lingue	45	40.0
Lingue	46	0.0
Lingue	47	0.0
Lingue	48	0.0
Lingue	49	0.0
Lingue	50	0.0
Lingue	51	0.0
Lingue	52	0.0
Lingue	53	0.0
Malliani	1	46.0
Malliani	2	46.0
Malliani	3	46.0
Malliani	4	46.0
Malliani	5	46.0
Malliani	6	46.0
Malliani	7	46.0
Malliani	8	46.0
Malliani	9	46.0
Malliani	10	46.0
Malliani	11	46.0
Malliani	12	46.0
Malliani	13	46.0
Malliani	14	46.0
Malliani	15	46.0
Malliani	16	46.0
Malliani	17	46.0
Malliani	18	46.0
Malliani	19	46.0
Malliani	20	46.0
Malliani	21	46.0
Malliani	22	54.0
Malliani	23	54.0
Malliani	24	53.0
Malliani	25	53.0
Malliani	26	53.0
Malliani	27	53.0
Malliani	28	53.0
Malliani	29	99.0
Malliani	30	99.0
Malliani	31	0.0
Malliani	32	0.0
Malliani	33	0.0
Malliani	34	0.0
Malliani	35	0.0
Malliani	36	99.0
Malliani	37	99.0
Malliani	38	99.0
Malliani	39	99.0
Malliani	40	99.0
Malliani	41	188.0
Malliani	42	188.0
Malliani	43	188.0
Malliani	44	0.0
Malliani	45	0.0
Malliani	46	0.0
Malliani	47	0.0
Malliani	48	0.0
Malliani	49	0.0
Malliani	50	0.0
Malliani	51	0.0
Malliani	52	0.0
Malliani	53	0.0
Matematica	1	0.0
Matematica	2	25.0
Matematica	3	25.0
Matematica	4	25.0
Matematica	5	25.0
Matematica	6	25.0
Matematica	7	25.0
Matematica	8	25.0
Matematica	9	25.0
Matematica	10	25.0
Matematica	11	25.0
Matematica	12	25.0
Matematica	13	25.0
Matematica	14	25.0
Matematica	15	25.0
Matematica	16	25.0
Matematica	17	25.0
Matematica	18	25.0
Matematica	19	25.0
Matematica	20	25.0
Matematica	21	25.0
Matematica	22	25.0
Matematica	23	25.0
Matematica	24	25.0
Matematica	25	25.0
Matematica	26	25.0
Matematica	27	25.0
Matematica	28	25.0
Matematica	29	25.0
Matematica	30	0.0
Matematica	31	0.0
Matematica	32	0.0
Matematica	33	0.0
Matematica	34	0.0
Matematica	35	0.0
Matematica	36	25.0
Matematica	37	25.0
Matematica	38	25.0
Matematica	39	40.0
Matematica	40	40.0
Matematica	41	40.0
Matematica	42	40.0
Matematica	43	152.0
Matematica	44	0.0
Matematica	45	0.0
Matematica	46	0.0
Matematica	47	0.0
Matematica	48	0.0
Matematica	49	0.0
Matematica	50	0.0
Matematica	51	0.0
Matematica	52	0.0
Matematica	53	0.0
Mediazione	1	16.0
Mediazione	2	16.0
Mediazione	3	16.0
Mediazione	4	16.0
Mediazione	5	31.0
Mediazione	6	16.0
Mediazione	7	16.0
Mediazione	8	16.0
Mediazione	9	31.0
Mediazione	10	31.0
Mediazione	11	0.0
Mediazione	12	31.0
Mediazione	13	31.0
Mediazione	14	16.0
Mediazione	15	31.0
Mediazione	16	31.0
Mediazione	17	31.0
Mediazione	18	31.0
Mediazione	19	31.0
Mediazione	20	31.0
Mediazione	21	31.0
Mediazione	22	31.0
Mediazione	23	31.0
Mediazione	24	31.0
Mediazione	25	31.0
Mediazione	26	31.0
Mediazione	27	31.0
Mediazione	28	31.0
Mediazione	29	31.0
Mediazione	30	0.0
Mediazione	31	0.0
Mediazione	32	0.0
Mediazione	33	0.0
Mediazione	34	0.0
Mediazione	35	0.0
